hour,weekday,is_weekend,is_holiday,power
6,3,0,0,48
7,3,0,0,46
8,3,0,0,39
9,3,0,0,42
10,3,0,0,49
11,3,0,0,41
12,3,0,0,41
13,3,0,0,40
14,3,0,0,30
15,3,0,0,40
16,3,0,0,40
17,3,0,0,52
18,3,0,0,59
19,3,0,0,62
20,3,0,0,70
21,3,0,0,64
22,3,0,0,76
23,3,0,0,74
0,4,0,0,74
1,4,0,0,65
2,4,0,0,77
3,4,0,0,63
4,4,0,0,73
5,4,0,0,81
6,4,0,0,45
7,4,0,0,47
8,4,0,0,40
9,4,0,0,37
10,4,0,0,32
11,4,0,0,40
12,4,0,0,35
13,4,0,0,42
14,4,0,0,35
15,4,0,0,48
16,4,0,0,36
17,4,0,0,38
18,4,0,0,64
19,4,0,0,54
20,4,0,0,71
21,4,0,0,77
22,4,0,0,62
23,4,0,0,71
0,5,1,0,81
1,5,1,0,84
2,5,1,0,74
3,5,1,0,73
4,5,1,0,83
5,5,1,0,81
6,5,1,0,61
7,5,1,0,62
8,5,1,0,57
9,5,1,0,61
10,5,1,0,61
11,5,1,0,56
12,5,1,0,69
13,5,1,0,62
14,5,1,0,54
15,5,1,0,63
16,5,1,0,55
17,5,1,0,64
18,5,1,0,86
19,5,1,0,76
20,5,1,0,85
21,5,1,0,82
22,5,1,0,84
23,5,1,0,89
0,6,1,0,79
1,6,1,0,76
2,6,1,0,76
3,6,1,0,76
4,6,1,0,80
5,6,1,0,82
6,6,1,0,61
7,6,1,0,64
8,6,1,0,60
9,6,1,0,67
10,6,1,0,59
11,6,1,0,74
12,6,1,0,63
13,6,1,0,56
14,6,1,0,55
15,6,1,0,62
16,6,1,0,59
17,6,1,0,64
18,6,1,0,82
19,6,1,0,80
20,6,1,0,76
21,6,1,0,72
22,6,1,0,78
23,6,1,0,84
0,0,0,0,71
1,0,0,0,64
2,0,0,0,71
3,0,0,0,72
4,0,0,0,66
5,0,0,0,71
6,0,0,0,50
7,0,0,0,44
8,0,0,0,42
9,0,0,0,43
10,0,0,0,45
11,0,0,0,45
12,0,0,0,33
13,0,0,0,35
14,0,0,0,43
15,0,0,0,43
16,0,0,0,43
17,0,0,0,59
18,0,0,0,63
19,0,0,0,66
20,0,0,0,75
21,0,0,0,73
22,0,0,0,68
23,0,0,0,74
0,1,0,0,66
1,1,0,0,69
2,1,0,0,68
3,1,0,0,70
4,1,0,0,82
5,1,0,0,61
6,1,0,0,53
7,1,0,0,42
8,1,0,0,38
9,1,0,0,45
10,1,0,0,40
11,1,0,0,35
12,1,0,0,36
13,1,0,0,43
14,1,0,0,36
15,1,0,0,41
16,1,0,0,40
17,1,0,0,37
18,1,0,0,71
19,1,0,0,63
20,1,0,0,60
21,1,0,0,71
22,1,0,0,67
23,1,0,0,74
0,2,0,0,66
1,2,0,0,69
2,2,0,0,73
3,2,0,0,74
4,2,0,0,64
5,2,0,0,68
6,2,0,0,48
7,2,0,0,47
8,2,0,0,49
9,2,0,0,42
10,2,0,0,34
11,2,0,0,45
12,2,0,0,51
13,2,0,0,45
14,2,0,0,32
15,2,0,0,38
16,2,0,0,46
17,2,0,0,36
18,2,0,0,62
19,2,0,0,64
20,2,0,0,65
21,2,0,0,70
22,2,0,0,54
23,2,0,0,65
0,3,0,0,69
1,3,0,0,64
2,3,0,0,78
3,3,0,0,63
4,3,0,0,68
5,3,0,0,71
6,3,0,0,57
7,3,0,0,43
8,3,0,0,46
9,3,0,0,40
10,3,0,0,35
11,3,0,0,42
12,3,0,0,41
13,3,0,0,37
14,3,0,0,40
15,3,0,0,38
16,3,0,0,41
17,3,0,0,43
18,3,0,0,68
19,3,0,0,54
20,3,0,0,81
21,3,0,0,60
22,3,0,0,69
23,3,0,0,73
0,4,0,0,71
1,4,0,0,67
2,4,0,0,69
3,4,0,0,68
4,4,0,0,67
5,4,0,0,74
6,4,0,0,52
7,4,0,0,47
8,4,0,0,44
9,4,0,0,42
10,4,0,0,44
11,4,0,0,43
12,4,0,0,36
13,4,0,0,37
14,4,0,0,44
15,4,0,0,43
16,4,0,0,40
17,4,0,0,41
18,4,0,0,66
19,4,0,0,57
20,4,0,0,73
21,4,0,0,69
22,4,0,0,69
23,4,0,0,75
0,5,1,0,84
1,5,1,0,84
2,5,1,0,87
3,5,1,0,80
4,5,1,0,83
5,5,1,0,78
6,5,1,0,62
7,5,1,0,59
8,5,1,0,60
9,5,1,0,63
10,5,1,0,56
11,5,1,0,70
12,5,1,0,55
13,5,1,0,54
14,5,1,0,66
15,5,1,0,64
16,5,1,0,63
17,5,1,0,63
18,5,1,0,80
19,5,1,0,76
20,5,1,0,80
21,5,1,0,77
22,5,1,0,85
23,5,1,0,79
0,6,1,0,76
1,6,1,0,78
2,6,1,0,82
3,6,1,0,77
4,6,1,0,76
5,6,1,0,81
6,6,1,0,61
7,6,1,0,57
8,6,1,0,58
9,6,1,0,61
10,6,1,0,53
11,6,1,0,53
12,6,1,0,56
13,6,1,0,59
14,6,1,0,62
15,6,1,0,67
16,6,1,0,64
17,6,1,0,59
18,6,1,0,80
19,6,1,0,75
20,6,1,0,80
21,6,1,0,79
22,6,1,0,82
23,6,1,0,76
0,0,0,0,73
1,0,0,0,78
2,0,0,0,69
3,0,0,0,72
4,0,0,0,73
5,0,0,0,68
6,0,0,0,51
7,0,0,0,50
8,0,0,0,40
9,0,0,0,36
10,0,0,0,40
11,0,0,0,42
12,0,0,0,47
13,0,0,0,45
14,0,0,0,51
15,0,0,0,36
16,0,0,0,44
17,0,0,0,41
18,0,0,0,71
19,0,0,0,56
20,0,0,0,66
21,0,0,0,67
22,0,0,0,59
23,0,0,0,67
0,1,0,0,66
1,1,0,0,71
2,1,0,0,72
3,1,0,0,79
4,1,0,0,75
5,1,0,0,67
6,1,0,0,46
7,1,0,0,52
8,1,0,0,33
9,1,0,0,49
10,1,0,0,46
11,1,0,0,38
12,1,0,0,31
13,1,0,0,47
14,1,0,0,39
15,1,0,0,46
16,1,0,0,32
17,1,0,0,37
18,1,0,0,60
19,1,0,0,60
20,1,0,0,68
21,1,0,0,73
22,1,0,0,65
23,1,0,0,69
0,2,0,0,71
1,2,0,0,73
2,2,0,0,74
3,2,0,0,64
4,2,0,0,62
5,2,0,0,76
6,2,0,0,52
7,2,0,0,46
8,2,0,0,48
9,2,0,0,41
10,2,0,0,46
11,2,0,0,40
12,2,0,0,50
13,2,0,0,49
14,2,0,0,39
15,2,0,0,45
16,2,0,0,43
17,2,0,0,47
18,2,0,0,55
19,2,0,0,63
20,2,0,0,75
21,2,0,0,61
22,2,0,0,64
23,2,0,0,60
0,3,0,0,69
1,3,0,0,74
2,3,0,0,78
3,3,0,0,70
4,3,0,0,78
5,3,0,0,63
6,3,0,0,41
7,3,0,0,50
8,3,0,0,42
9,3,0,0,40
10,3,0,0,30
11,3,0,0,40
12,3,0,0,33
13,3,0,0,43
14,3,0,0,42
15,3,0,0,35
16,3,0,0,37
17,3,0,0,35
18,3,0,0,60
19,3,0,0,65
20,3,0,0,65
21,3,0,0,73
22,3,0,0,67
23,3,0,0,66
0,4,0,0,69
1,4,0,0,65
2,4,0,0,67
3,4,0,0,64
4,4,0,0,80
5,4,0,0,70
6,4,0,0,47
7,4,0,0,51
8,4,0,0,39
9,4,0,0,39
10,4,0,0,43
11,4,0,0,44
12,4,0,0,37
13,4,0,0,37
14,4,0,0,39
15,4,0,0,28
16,4,0,0,32
17,4,0,0,47
18,4,0,0,68
19,4,0,0,59
20,4,0,0,73
21,4,0,0,72
22,4,0,0,85
23,4,0,0,76
0,5,1,0,79
1,5,1,0,75
2,5,1,0,72
3,5,1,0,81
4,5,1,0,76
5,5,1,0,73
6,5,1,0,57
7,5,1,0,55
8,5,1,0,68
9,5,1,0,64
10,5,1,0,60
11,5,1,0,67
12,5,1,0,60
13,5,1,0,56
14,5,1,0,68
15,5,1,0,63
16,5,1,0,55
17,5,1,0,59
18,5,1,0,76
19,5,1,0,73
20,5,1,0,85
21,5,1,0,90
22,5,1,0,73
23,5,1,0,83
0,6,1,0,77
1,6,1,0,78
2,6,1,0,77
3,6,1,0,76
4,6,1,0,80
5,6,1,0,76
6,6,1,0,61
7,6,1,0,60
8,6,1,0,59
9,6,1,0,55
10,6,1,0,57
11,6,1,0,64
12,6,1,0,63
13,6,1,0,55
14,6,1,0,60
15,6,1,0,64
16,6,1,0,52
17,6,1,0,63
18,6,1,0,77
19,6,1,0,83
20,6,1,0,76
21,6,1,0,71
22,6,1,0,72
23,6,1,0,80
0,0,0,0,71
1,0,0,0,65
2,0,0,0,73
3,0,0,0,62
4,0,0,0,70
5,0,0,0,64
6,0,0,0,47
7,0,0,0,50
8,0,0,0,36
9,0,0,0,38
10,0,0,0,45
11,0,0,0,37
12,0,0,0,44
13,0,0,0,34
14,0,0,0,43
15,0,0,0,47
16,0,0,0,28
17,0,0,0,36
18,0,0,0,63
19,0,0,0,59
20,0,0,0,72
21,0,0,0,67
22,0,0,0,70
23,0,0,0,69
0,1,0,0,76
1,1,0,0,71
2,1,0,0,72
3,1,0,0,68
4,1,0,0,68
5,1,0,0,68
6,1,0,0,52
7,1,0,0,48
8,1,0,0,41
9,1,0,0,50
10,1,0,0,44
11,1,0,0,38
12,1,0,0,46
13,1,0,0,38
14,1,0,0,30
15,1,0,0,35
16,1,0,0,31
17,1,0,0,38
18,1,0,0,60
19,1,0,0,68
20,1,0,0,72
21,1,0,0,69
22,1,0,0,74
23,1,0,0,59
0,2,0,0,71
1,2,0,0,74
2,2,0,0,63
3,2,0,0,76
4,2,0,0,72
5,2,0,0,68
6,2,0,0,53
7,2,0,0,61
8,2,0,0,41
9,2,0,0,41
10,2,0,0,38
11,2,0,0,36
12,2,0,0,44
13,2,0,0,36
14,2,0,0,40
15,2,0,0,38
16,2,0,0,42
17,2,0,0,42
18,2,0,0,65
19,2,0,0,57
20,2,0,0,69
21,2,0,0,65
22,2,0,0,68
23,2,0,0,72
0,3,0,1,114
1,3,0,1,105
2,3,0,1,114
3,3,0,1,117
4,3,0,1,112
5,3,0,1,119
6,3,0,1,86
7,3,0,1,84
8,3,0,1,81
9,3,0,1,97
10,3,0,1,93
11,3,0,1,90
12,3,0,1,91
13,3,0,1,84
14,3,0,1,102
15,3,0,1,91
16,3,0,1,91
17,3,0,1,94
18,3,0,1,112
19,3,0,1,111
20,3,0,1,106
21,3,0,1,112
22,3,0,1,119
23,3,0,1,117
0,4,0,0,78
1,4,0,0,67
2,4,0,0,65
3,4,0,0,69
4,4,0,0,70
5,4,0,0,75
6,4,0,0,42
7,4,0,0,58
8,4,0,0,39
9,4,0,0,38
10,4,0,0,35
11,4,0,0,32
12,4,0,0,44
13,4,0,0,40
14,4,0,0,34
15,4,0,0,34
16,4,0,0,38
17,4,0,0,48
18,4,0,0,59
19,4,0,0,52
20,4,0,0,69
21,4,0,0,69
22,4,0,0,57
23,4,0,0,70
0,5,1,0,79
1,5,1,0,83
2,5,1,0,89
3,5,1,0,86
4,5,1,0,79
5,5,1,0,74
6,5,1,0,73
7,5,1,0,60
8,5,1,0,60
9,5,1,0,60
10,5,1,0,61
11,5,1,0,59
12,5,1,0,57
13,5,1,0,57
14,5,1,0,60
15,5,1,0,57
16,5,1,0,56
17,5,1,0,61
18,5,1,0,79
19,5,1,0,88
20,5,1,0,67
21,5,1,0,85
22,5,1,0,86
23,5,1,0,70
0,6,1,0,78
1,6,1,0,78
2,6,1,0,73
3,6,1,0,76
4,6,1,0,74
5,6,1,0,89
6,6,1,0,65
7,6,1,0,66
8,6,1,0,64
9,6,1,0,54
10,6,1,0,57
11,6,1,0,62
12,6,1,0,54
13,6,1,0,64
14,6,1,0,59
15,6,1,0,58
16,6,1,0,64
17,6,1,0,62
18,6,1,0,78
19,6,1,0,86
20,6,1,0,75
21,6,1,0,83
22,6,1,0,83
23,6,1,0,78
0,0,0,0,72
1,0,0,0,64
2,0,0,0,75
3,0,0,0,69
4,0,0,0,67
5,0,0,0,75
6,0,0,0,46
7,0,0,0,43
8,0,0,0,32
9,0,0,0,43
10,0,0,0,34
11,0,0,0,49
12,0,0,0,30
13,0,0,0,48
14,0,0,0,41
15,0,0,0,40
16,0,0,0,37
17,0,0,0,42
18,0,0,0,60
19,0,0,0,66
20,0,0,0,71
21,0,0,0,71
22,0,0,0,68
23,0,0,0,70
0,1,0,0,72
